est_dist(m)	true_dist(m)	squared_error(m^2)
1.542	1.402	0.13964
1.544	1.402	0.14202
1.551	1.402	0.14871
1.538	1.402	0.13572
1.522	1.411	0.11137
1.560	1.411	0.14931
1.575	1.411	0.16428
1.538	1.411	0.12726
1.571	1.411	0.16043
1.563	1.411	0.15217
1.544	1.411	0.13303
1.579	1.418	0.16138
1.613	1.418	0.19523
1.576	1.418	0.15801
1.569	1.418	0.15070
1.572	1.418	0.15447
1.543	1.418	0.12466
1.539	1.418	0.12146
1.574	1.418	0.15599
1.550	1.418	0.13218
1.521	1.418	0.10297
1.553	1.418	0.13527
1.569	1.418	0.15082
1.575	1.418	0.15658
1.576	1.418	0.15794
1.581	1.416	0.16548
1.579	1.416	0.16261
1.565	1.416	0.14924
1.530	1.416	0.11414
1.507	1.416	0.09146
1.536	1.416	0.11969
1.576	1.416	0.16005
1.573	1.416	0.15702
1.559	1.416	0.14268
1.562	1.416	0.14594
1.571	1.416	0.15547
1.591	1.416	0.17454
1.552	1.416	0.13573
1.545	1.416	0.12929
1.549	1.416	0.13275
1.530	1.416	0.11398
1.542	1.416	0.12570
1.519	1.416	0.10313
1.544	1.416	0.12793
1.518	1.416	0.10217
1.560	1.416	0.14371
1.511	1.416	0.09487
1.491	1.416	0.07480
1.499	1.416	0.08328
1.550	1.416	0.13415
1.534	1.416	0.11849
1.613	1.416	0.19726
1.560	1.418	0.14170
1.573	1.418	0.15469
1.606	1.418	0.18790
1.569	1.418	0.15103
1.520	1.418	0.10217
1.554	1.418	0.13648
1.514	1.418	0.09647
1.522	1.421	0.10060
1.491	1.421	0.07016
1.551	1.421	0.12988
1.535	1.421	0.11436
1.506	1.421	0.08513
1.515	1.421	0.09376
1.539	1.421	0.11827
1.558	1.421	0.13694
1.551	1.421	0.13033
1.591	1.421	0.17004
1.556	1.421	0.13549
1.548	1.421	0.12716
1.585	1.420	0.16514
1.564	1.420	0.14405
1.582	1.420	0.16231
1.527	1.420	0.10668
1.573	1.420	0.15271
1.554	1.420	0.13408
1.592	1.420	0.17164
1.559	1.420	0.13853
1.559	1.420	0.13904
1.563	1.420	0.14324
1.519	1.420	0.09939
1.538	1.420	0.11810
1.528	1.420	0.10759
1.526	1.521	0.00486
1.544	1.521	0.02333
1.514	1.521	0.00694
1.577	1.521	0.05575
1.507	1.521	0.01415
1.537	1.521	0.01567
1.528	1.521	0.00744
1.606	1.521	0.08545
1.616	1.521	0.09502
1.648	1.521	0.12698
1.583	1.521	0.06213
1.570	1.521	0.04906
1.556	1.521	0.03474
1.504	1.521	0.01748
1.559	1.521	0.03835
1.578	1.521	0.05699
1.568	1.521	0.04654
1.583	1.521	0.06214
1.627	1.521	0.10644
1.581	1.521	0.06000
1.558	1.684	0.12584
1.586	1.684	0.09756
1.621	1.684	0.06265
1.656	1.684	0.02777
1.673	1.684	0.01111
1.672	1.684	0.01178
1.701	1.684	0.01655
1.693	1.684	0.00909
1.633	1.684	0.05093
1.607	1.684	0.07672
1.634	1.684	0.04998
1.623	1.684	0.06146
1.650	1.684	0.03402
1.615	1.684	0.06901
1.619	1.684	0.06499
1.628	1.684	0.05604
1.641	1.684	0.04340
1.646	1.684	0.03803
1.671	1.631	0.03959
1.648	1.631	0.01742
1.653	1.631	0.02200
1.674	1.631	0.04258
1.641	1.631	0.01034
1.657	1.631	0.02650
1.656	1.631	0.02520
