est_dist(m)	true_dist(m)	squared_error(m^2)
1.572	1.600	0.02755	1.722%
1.559	1.600	0.04054	2.534%
1.531	1.600	0.06895	4.309%
1.058	1.600	0.54228	33.893%
1.085	1.412	0.32735	23.184%
1.087	1.412	0.32523	23.033%
1.575	1.412	0.16329	-11.564%
1.063	1.412	0.34875	24.699%
1.062	1.412	0.35018	24.800%
1.066	1.412	0.34611	24.512%
1.053	1.412	0.35881	25.411%
1.545	1.412	0.13326	-9.437%
1.078	1.412	0.33363	23.628%
1.540	1.412	0.12831	-9.087%
1.519	1.412	0.10696	-7.575%
1.542	1.412	0.12972	-9.187%
1.558	1.412	0.14635	-10.364%
1.590	1.412	0.17846	-12.639%
1.568	1.412	0.15647	-11.081%
1.579	1.412	0.16692	-11.821%
1.586	1.412	0.17435	-12.348%
1.524	1.412	0.11227	-7.951%
1.060	1.412	0.35208	24.935%
1.577	1.413	0.16412	-11.615%
1.571	1.413	0.15816	-11.193%
1.558	1.413	0.14549	-10.297%
1.572	1.413	0.15881	-11.239%
1.569	1.413	0.15643	-11.071%
1.567	1.413	0.15436	-10.924%
1.606	1.413	0.19254	-13.626%
1.553	1.413	0.14027	-9.927%
1.557	1.413	0.14444	-10.222%
1.566	1.413	0.15267	-10.805%
1.579	1.413	0.16590	-11.741%
1.545	1.413	0.13160	-9.314%
1.062	1.413	0.35141	24.870%
1.010	1.413	0.40276	28.504%
1.027	1.413	0.38558	27.288%
1.492	1.413	0.07935	-5.615%
1.486	1.413	0.07284	-5.155%
1.036	1.413	0.37716	26.692%
1.051	1.413	0.36187	25.610%
1.498	1.413	0.08457	-5.985%
1.473	1.425	0.04788	-3.360%
1.515	1.425	0.09004	-6.319%
1.536	1.425	0.11103	-7.792%
1.513	1.425	0.08848	-6.209%
1.501	1.425	0.07646	-5.366%
1.511	1.425	0.08624	-6.052%
1.522	1.425	0.09706	-6.812%
1.054	1.425	0.37130	26.056%
1.016	1.425	0.40922	28.717%
1.034	1.425	0.39056	27.408%
1.052	1.425	0.37288	26.167%
1.026	1.425	0.39919	28.013%
1.054	1.425	0.37058	26.005%
1.052	1.425	0.37280	26.162%
1.029	1.425	0.39632	27.812%
1.506	1.425	0.08068	-5.662%
1.074	1.425	0.35084	24.620%
1.044	1.425	0.38065	26.712%
1.050	1.425	0.37459	26.287%
1.541	1.425	0.11572	-8.121%
1.564	1.420	0.14437	-10.167%
1.050	1.420	0.37008	26.062%
1.042	1.420	0.37759	26.591%
1.533	1.420	0.11320	-7.972%
1.522	1.420	0.10179	-7.169%
1.515	1.420	0.09460	-6.662%
1.535	1.420	0.11515	-8.109%
1.045	1.420	0.37452	26.375%
1.554	1.420	0.13433	-9.460%
1.036	1.420	0.38372	27.023%
1.030	1.420	0.39047	27.498%
1.532	1.420	0.11243	-7.918%
1.567	1.420	0.14651	-10.317%
1.034	1.420	0.38594	27.179%
1.519	1.420	0.09930	-6.993%
1.514	1.420	0.09369	-6.598%
1.526	1.420	0.10597	-7.462%
1.524	1.420	0.10403	-7.326%
1.559	1.420	0.13876	-9.771%
1.545	1.412	0.13304	-9.422%
1.507	1.412	0.09496	-6.725%
1.560	1.412	0.14816	-10.493%
1.042	1.412	0.37049	26.239%
1.082	1.412	0.33014	23.381%
1.047	1.412	0.36455	25.818%
1.505	1.412	0.09262	-6.560%
1.578	1.412	0.16620	-11.771%
1.056	1.412	0.35624	25.230%
1.057	1.412	0.35515	25.153%
1.038	1.412	0.37417	26.499%
1.065	1.412	0.34672	24.555%
1.044	1.412	0.36812	26.071%
2.087	1.412	0.67460	-47.776%
1.525	1.412	0.11258	-7.973%
1.533	1.412	0.12135	-8.594%
1.085	1.412	0.32676	23.142%
1.046	1.412	0.36649	25.955%
2.077	1.412	0.66454	-47.064%
1.548	1.412	0.13579	-9.617%
1.549	1.400	0.14900	-10.643%
1.073	1.400	0.32681	23.344%
1.084	1.400	0.31644	22.603%
1.080	1.400	0.32046	22.890%
1.570	1.400	0.17044	-12.175%
1.548	1.400	0.14816	-10.583%
1.549	1.400	0.14874	-10.625%
1.567	1.400	0.16680	-11.915%
1.080	1.400	0.31994	22.853%
1.069	1.400	0.33133	23.667%
1.550	1.400	0.15015	-10.725%
1.565	1.400	0.16460	-11.757%
1.082	1.400	0.31793	22.709%
1.065	1.400	0.33540	23.957%
1.556	1.400	0.15590	-11.136%
1.540	1.400	0.13975	-9.982%
1.552	1.400	0.15196	-10.854%
1.075	1.400	0.32548	23.248%
1.559	1.400	0.15878	-11.341%
1.541	1.400	0.14086	-10.061%
1.551	1.402	0.14864	-10.602%
1.551	1.402	0.14935	-10.653%
1.562	1.402	0.15953	-11.379%
1.557	1.402	0.15544	-11.087%
1.555	1.402	0.15331	-10.935%
1.074	1.402	0.32785	23.384%
1.076	1.402	0.32641	23.282%
1.547	1.402	0.14470	-10.321%
1.563	1.402	0.16094	-11.479%
1.519	1.402	0.11723	-8.362%
1.557	1.402	0.15457	-11.025%
1.048	1.402	0.35373	25.230%
1.056	1.402	0.34648	24.713%
1.542	1.402	0.13964	-9.960%
1.065	1.402	0.33742	24.067%
1.544	1.402	0.14202	-10.130%
1.551	1.402	0.14871	-10.607%
1.538	1.402	0.13572	-9.680%
2.080	1.402	0.67803	-48.362%
1.522	1.411	0.11137	-7.893%
1.560	1.411	0.14931	-10.582%
1.575	1.411	0.16428	-11.642%
1.082	1.411	0.32870	23.296%
1.069	1.411	0.34211	24.246%
1.047	1.411	0.36418	25.810%
1.072	1.411	0.33931	24.048%
1.074	1.411	0.33659	23.855%
1.071	1.411	0.34029	24.117%
1.063	1.411	0.34802	24.665%
1.538	1.411	0.12726	-9.019%
1.571	1.411	0.16043	-11.370%
1.074	1.411	0.33711	23.892%
1.081	1.411	0.32997	23.386%
1.029	1.411	0.38171	27.052%
1.058	1.411	0.35287	25.009%
1.063	1.411	0.34752	24.629%
1.563	1.411	0.15217	-10.785%
1.544	1.411	0.13303	-9.428%
1.035	1.411	0.37649	26.682%
1.050	1.418	0.36819	25.966%
1.048	1.418	0.36987	26.084%
1.064	1.418	0.35390	24.957%
1.579	1.418	0.16138	-11.381%
1.613	1.418	0.19523	-13.768%
1.576	1.418	0.15801	-11.143%
1.569	1.418	0.15070	-10.628%
1.572	1.418	0.15447	-10.894%
1.543	1.418	0.12466	-8.791%
1.539	1.418	0.12146	-8.565%
1.574	1.418	0.15599	-11.001%
1.550	1.418	0.13218	-9.322%
1.065	1.418	0.35296	24.891%
1.521	1.418	0.10297	-7.262%
1.553	1.418	0.13527	-9.540%
1.569	1.418	0.15082	-10.636%
1.084	1.418	0.33406	23.559%
1.575	1.418	0.15658	-11.042%
1.576	1.418	0.15794	-11.138%
1.581	1.416	0.16548	-11.686%
1.579	1.416	0.16261	-11.484%
1.565	1.416	0.14924	-10.540%
1.530	1.416	0.11414	-8.061%
1.063	1.416	0.35282	24.916%
1.507	1.416	0.09146	-6.459%
1.536	1.416	0.11969	-8.453%
1.576	1.416	0.16005	-11.303%
1.573	1.416	0.15702	-11.089%
1.559	1.416	0.14268	-10.076%
1.562	1.416	0.14594	-10.307%
1.571	1.416	0.15547	-10.980%
1.591	1.416	0.17454	-12.326%
1.080	1.416	0.33552	23.695%
1.552	1.416	0.13573	-9.586%
1.545	1.416	0.12929	-9.130%
1.549	1.416	0.13275	-9.375%
1.075	1.416	0.34070	24.061%
1.065	1.416	0.35146	24.820%
1.055	1.416	0.36107	25.499%
1.530	1.416	0.11398	-8.049%
1.542	1.416	0.12570	-8.877%
1.519	1.416	0.10313	-7.283%
1.544	1.416	0.12793	-9.035%
1.518	1.416	0.10217	-7.215%
1.560	1.416	0.14371	-10.149%
1.511	1.416	0.09487	-6.700%
1.491	1.416	0.07480	-5.283%
1.041	1.416	0.37525	26.501%
1.499	1.416	0.08328	-5.881%
1.550	1.416	0.13415	-9.474%
2.073	1.416	0.65680	-46.384%
1.064	1.416	0.35200	24.859%
1.038	1.416	0.37764	26.669%
1.058	1.416	0.35815	25.293%
1.070	1.416	0.34572	24.416%
1.064	1.416	0.35230	24.880%
1.074	1.416	0.34197	24.151%
1.534	1.416	0.11849	-8.368%
1.613	1.416	0.19726	-13.931%
1.070	1.418	0.34784	24.530%
1.060	1.418	0.35781	25.233%
1.042	1.418	0.37581	26.503%
1.106	1.418	0.31167	21.980%
1.007	1.418	0.41121	28.999%
1.560	1.418	0.14170	-9.993%
2.072	1.418	0.65420	-46.135%
1.573	1.418	0.15469	-10.909%
1.606	1.418	0.18790	-13.251%
1.569	1.418	0.15103	-10.651%
1.062	1.418	0.35603	25.108%
1.032	1.418	0.38600	27.221%
1.011	1.418	0.40744	28.733%
1.520	1.418	0.10217	-7.205%
1.034	1.418	0.38420	27.095%
1.554	1.418	0.13648	-9.625%
1.514	1.418	0.09647	-6.803%
2.086	1.418	0.66801	-47.109%
1.041	1.418	0.37740	26.615%
1.081	1.418	0.33719	23.780%
1.522	1.421	0.10060	-7.079%
1.491	1.421	0.07016	-4.938%
1.551	1.421	0.12988	-9.140%
1.084	1.421	0.33720	23.730%
1.078	1.421	0.34260	24.109%
1.535	1.421	0.11436	-8.048%
1.506	1.421	0.08513	-5.991%
1.515	1.421	0.09376	-6.598%
1.539	1.421	0.11827	-8.323%
1.558	1.421	0.13694	-9.637%
1.071	1.421	0.34972	24.611%
1.551	1.421	0.13033	-9.172%
1.591	1.421	0.17004	-11.966%
1.556	1.421	0.13549	-9.535%
1.067	1.421	0.35403	24.914%
1.548	1.421	0.12716	-8.949%
1.085	1.421	0.33650	23.680%
1.084	1.421	0.33696	23.713%
1.081	1.421	0.34002	23.929%
1.085	1.421	0.33558	23.616%
1.585	1.420	0.16514	-11.630%
1.564	1.420	0.14405	-10.144%
1.082	1.420	0.33826	23.821%
1.070	1.420	0.35021	24.662%
1.582	1.420	0.16231	-11.430%
1.527	1.420	0.10668	-7.513%
1.573	1.420	0.15271	-10.754%
1.554	1.420	0.13408	-9.442%
1.066	1.420	0.35426	24.948%
1.047	1.420	0.37295	26.264%
1.592	1.420	0.17164	-12.087%
1.559	1.420	0.13853	-9.755%
1.559	1.420	0.13904	-9.791%
1.563	1.420	0.14324	-10.087%
1.063	1.420	0.35651	25.106%
1.061	1.420	0.35924	25.298%
1.519	1.420	0.09939	-7.000%
1.538	1.420	0.11810	-8.317%
1.528	1.420	0.10759	-7.577%
1.526	1.521	0.00486	-0.320%
1.544	1.521	0.02333	-1.534%
1.514	1.521	0.00694	0.456%
1.577	1.521	0.05575	-3.665%
1.507	1.521	0.01415	0.931%
1.537	1.521	0.01567	-1.030%
1.528	1.521	0.00744	-0.489%
1.606	1.521	0.08545	-5.618%
1.616	1.521	0.09502	-6.247%
1.648	1.521	0.12698	-8.349%
1.583	1.521	0.06213	-4.085%
1.570	1.521	0.04906	-3.225%
1.556	1.521	0.03474	-2.284%
1.504	1.521	0.01748	1.149%
1.559	1.521	0.03835	-2.521%
1.578	1.521	0.05699	-3.747%
1.568	1.521	0.04654	-3.060%
1.583	1.521	0.06214	-4.086%
1.627	1.521	0.10644	-6.998%
1.581	1.521	0.06000	-3.945%
1.558	1.684	0.12584	7.473%
1.586	1.684	0.09756	5.793%
1.621	1.684	0.06265	3.720%
1.656	1.684	0.02777	1.649%
1.673	1.684	0.01111	0.660%
1.672	1.684	0.01178	0.699%
1.701	1.684	0.01655	-0.983%
1.693	1.684	0.00909	-0.540%
1.633	1.684	0.05093	3.025%
1.607	1.684	0.07672	4.556%
1.634	1.684	0.04998	2.968%
1.623	1.684	0.06146	3.650%
1.650	1.684	0.03402	2.020%
1.615	1.684	0.06901	4.098%
1.619	1.684	0.06499	3.859%
1.628	1.684	0.05604	3.328%
1.641	1.684	0.04340	2.577%
1.110	1.684	0.57415	34.094%
1.117	1.684	0.56691	33.664%
1.646	1.684	0.03803	2.258%
1.671	1.631	0.03959	-2.427%
1.648	1.631	0.01742	-1.068%
1.653	1.631	0.02200	-1.349%
1.674	1.631	0.04258	-2.611%
1.084	1.631	0.54728	33.555%
1.092	1.631	0.53920	33.059%
1.083	1.631	0.54768	33.580%
1.641	1.631	0.01034	-0.634%
1.657	1.631	0.02650	-1.625%
1.656	1.631	0.02520	-1.545%
1.619	1.631	0.01176	0.721%
1.653	1.631	0.02226	-1.365%
1.670	1.631	0.03883	-2.381%
1.682	1.631	0.05098	-3.126%
1.691	1.631	0.06009	-3.684%
1.658	1.631	0.02667	-1.635%
1.632	1.631	0.00059	-0.036%
1.611	1.631	0.02007	1.231%
1.643	1.631	0.01184	-0.726%
1.649	1.631	0.01761	-1.080%
1.675	1.577	0.09781	-6.202%
1.655	1.577	0.07839	-4.971%
1.661	1.577	0.08431	-5.346%
1.642	1.577	0.06460	-4.096%
1.631	1.577	0.05431	-3.444%
