est_dist(m)	true_dist(m)	squared_error(m^2)
1.660	1.445	0.21547	-14.911%
1.667	1.445	0.22187	-15.354%
1.672	1.445	0.22750	-15.744%
1.673	1.445	0.22773	-15.760%
2.066	1.445	0.62062	-42.950%
2.061	1.445	0.61582	-42.617%
1.646	1.445	0.20052	-13.877%
1.649	1.445	0.20430	-14.138%
1.630	1.445	0.18514	-12.812%
2.082	1.445	0.63721	-44.098%
1.624	1.445	0.17919	-12.401%
1.628	1.445	0.18276	-12.647%
1.124	1.445	0.32096	22.212%
1.107	1.445	0.33825	23.408%
1.128	1.450	0.32233	22.230%
1.123	1.450	0.32651	22.518%
1.124	1.450	0.32621	22.497%
1.092	1.450	0.35837	24.715%
1.084	1.450	0.36640	25.269%
1.572	1.450	0.12229	-8.434%
2.075	1.450	0.62536	-43.128%
2.066	1.450	0.61582	-42.470%
2.070	1.450	0.61992	-42.753%
2.069	1.450	0.61922	-42.705%
1.640	1.450	0.19046	-13.135%
1.105	1.450	0.34480	23.779%
1.110	1.450	0.34026	23.466%
1.632	1.450	0.18249	-12.586%
1.613	1.450	0.16312	-11.249%
1.608	1.450	0.15764	-10.871%
1.611	1.462	0.14876	-10.175%
1.656	1.462	0.19397	-13.268%
1.587	1.462	0.12497	-8.548%
1.572	1.462	0.11008	-7.529%
1.539	1.462	0.07698	-5.265%
1.560	1.462	0.09755	-6.672%
1.555	1.462	0.09290	-6.355%
1.554	1.462	0.09246	-6.324%
1.567	1.462	0.10485	-7.172%
1.590	1.462	0.12759	-8.727%
1.571	1.462	0.10902	-7.457%
1.560	1.462	0.09829	-6.723%
1.530	1.462	0.06819	-4.664%
1.582	1.462	0.11980	-8.194%
1.571	1.462	0.10876	-7.439%
1.552	1.462	0.09041	-6.184%
1.580	1.462	0.11775	-8.054%
1.546	1.462	0.08357	-5.716%
1.520	1.462	0.05778	-3.952%
1.493	1.462	0.03125	-2.138%
1.523	1.232	0.29115	-23.632%
1.539	1.232	0.30665	-24.891%
1.482	1.232	0.25025	-20.312%
1.451	1.232	0.21862	-17.745%
1.473	1.232	0.24099	-19.561%
1.478	1.232	0.24580	-19.951%
1.450	1.232	0.21770	-17.670%
1.462	1.232	0.22991	-18.661%
1.480	1.232	0.24776	-20.110%
1.486	1.232	0.25382	-20.602%
1.456	1.232	0.22386	-18.171%
1.399	1.232	0.16718	-13.570%
1.444	1.232	0.21214	-17.219%
1.491	1.232	0.25930	-21.047%
1.490	1.232	0.25833	-20.968%
1.463	1.232	0.23128	-18.772%
1.464	1.232	0.23185	-18.819%
1.460	1.232	0.22786	-18.495%
1.379	1.232	0.14657	-11.897%
1.367	1.232	0.13527	-10.980%
1.318	1.463	0.14532	9.933%
1.342	1.463	0.12090	8.264%
1.381	1.463	0.08234	5.628%
1.408	1.463	0.05469	3.738%
1.450	1.463	0.01320	0.902%
1.529	1.463	0.06557	-4.482%
1.500	1.463	0.03718	-2.541%
1.459	1.463	0.00447	0.305%
1.459	1.463	0.00448	0.306%
1.438	1.463	0.02506	1.713%
1.423	1.463	0.04013	2.743%
1.359	1.463	0.10411	7.116%
1.375	1.463	0.08849	6.048%
1.442	1.463	0.02085	1.425%
1.510	1.463	0.04750	-3.246%
1.503	1.463	0.03996	-2.732%
1.618	1.463	0.15528	-10.614%
1.634	1.463	0.17139	-11.715%
1.704	1.463	0.24144	-16.503%
1.717	1.463	0.25444	-17.391%
1.753	1.620	0.13279	-8.197%
1.762	1.620	0.14226	-8.781%
1.561	1.620	0.05938	3.665%
1.591	1.620	0.02868	1.770%
2.135	1.620	0.51486	-31.781%
1.696	1.620	0.07559	-4.666%
0.999	1.620	0.62079	38.320%
1.002	1.620	0.61840	38.173%
1.006	1.620	0.61432	37.921%
1.008	1.620	0.61226	37.794%
1.025	1.620	0.59512	36.736%
1.021	1.620	0.59866	36.954%
2.083	1.620	0.46336	-28.603%
2.162	1.710	0.45243	-26.458%
2.181	1.710	0.47109	-27.549%
2.168	1.710	0.45776	-26.770%
2.202	1.710	0.49236	-28.793%
2.198	1.710	0.48773	-28.522%
2.130	1.710	0.41963	-24.540%
2.156	1.710	0.44619	-26.093%
2.168	1.710	0.45785	-26.775%
1.737	1.710	0.02651	-1.550%
1.767	1.710	0.05741	-3.357%
1.745	1.710	0.03495	-2.044%
1.764	1.710	0.05361	-3.135%
1.746	1.710	0.03615	-2.114%
1.776	1.710	0.06596	-3.858%
1.797	1.710	0.08735	-5.108%
1.106	1.710	0.60434	35.341%
1.117	1.710	0.59317	34.689%
1.155	1.860	0.70524	37.916%
1.142	1.860	0.71766	38.584%
1.137	1.860	0.72296	38.869%
1.148	1.860	0.71190	38.274%
1.134	1.860	0.72616	39.041%
1.097	1.860	0.76306	41.025%
1.095	1.860	0.76491	41.124%
1.151	1.860	0.70883	38.109%
2.141	2.160	0.01864	0.863%
2.141	2.160	0.01931	0.894%
1.125	2.160	1.03508	47.920%
1.182	2.160	0.97814	45.284%
1.126	2.160	1.03387	47.864%
1.183	2.160	0.97701	45.232%
1.178	2.160	0.98217	45.471%
1.164	2.160	0.99598	46.110%
1.151	2.160	1.00879	46.703%
1.156	2.160	1.00416	46.489%
2.115	2.160	0.04546	2.105%
2.118	2.160	0.04183	1.937%
2.126	2.160	0.03388	1.568%
2.133	2.160	0.02680	1.241%
2.143	2.160	0.01712	0.793%
2.146	2.160	0.01374	0.636%
2.153	2.160	0.00711	0.329%
2.156	2.160	0.00429	0.198%
2.158	2.160	0.00243	0.112%
2.150	2.160	0.01046	0.484%
2.148	2.160	0.01209	0.560%
2.116	1.600	0.51554	-32.221%
2.153	1.600	0.55310	-34.569%
2.137	1.600	0.53690	-33.556%
2.153	1.600	0.55273	-34.545%
2.138	1.600	0.53823	-33.639%
2.165	1.600	0.56541	-35.338%
1.812	1.600	0.21184	-13.240%
1.722	1.600	0.12181	-7.613%
2.271	1.600	0.67078	-41.924%
1.762	1.600	0.16173	-10.108%
1.014	1.716	0.70221	40.921%
1.695	1.716	0.02106	1.227%
1.671	1.716	0.04545	2.648%
1.683	1.716	0.03337	1.944%
1.671	1.716	0.04514	2.631%
2.150	1.716	0.43439	-25.314%
2.141	1.716	0.42487	-24.759%
1.552	1.716	0.16447	9.585%
1.526	1.716	0.18969	11.054%
1.509	1.716	0.20660	12.040%
1.505	1.716	0.21068	12.277%
1.570	1.716	0.14573	8.492%
1.548	1.716	0.16780	9.779%
1.542	1.716	0.17414	10.148%
1.552	1.716	0.16382	9.547%
1.520	1.716	0.19554	11.395%
1.548	1.716	0.16806	9.794%
1.451	1.496	0.04467	2.986%
1.408	1.496	0.08785	5.873%
1.407	1.496	0.08903	5.951%
1.505	1.496	0.00887	-0.593%
1.506	1.496	0.01047	-0.700%
1.416	1.496	0.07964	5.323%
1.422	1.496	0.07362	4.921%
1.399	1.496	0.09713	6.492%
1.363	1.496	0.13306	8.894%
1.406	1.496	0.09005	6.019%
1.427	1.496	0.06943	4.641%
1.258	1.496	0.23787	15.901%
1.232	1.496	0.26365	17.624%
1.249	1.496	0.24739	16.537%
1.282	1.496	0.21432	14.326%
1.304	1.496	0.19247	12.866%
1.311	1.496	0.18490	12.360%
1.312	1.496	0.18443	12.328%
1.373	1.496	0.12347	8.253%
1.364	1.496	0.13182	8.811%
1.383	1.420	0.03706	2.610%
1.380	1.420	0.04020	2.831%
1.362	1.420	0.05760	4.056%
1.384	1.420	0.03592	2.530%
1.346	1.420	0.07378	5.196%
1.333	1.420	0.08663	6.101%
1.334	1.420	0.08641	6.085%
1.351	1.420	0.06876	4.842%
1.363	1.420	0.05733	4.037%
1.351	1.420	0.06902	4.861%
1.372	1.420	0.04830	3.402%
1.384	1.420	0.03626	2.553%
1.385	1.420	0.03460	2.437%
1.394	1.420	0.02581	1.818%
1.394	1.420	0.02620	1.845%
1.386	1.420	0.03382	2.382%
1.317	1.420	0.10336	7.279%
1.413	1.420	0.00663	0.467%
1.433	1.420	0.01336	-0.941%
1.454	1.420	0.03381	-2.381%
1.436	1.481	0.04488	3.031%
1.441	1.481	0.04013	2.709%
1.453	1.481	0.02759	1.863%
1.500	1.481	0.01850	-1.249%
1.499	1.481	0.01843	-1.244%
1.500	1.481	0.01908	-1.288%
1.470	1.481	0.01109	0.749%
1.482	1.481	0.00052	-0.035%
1.436	1.481	0.04512	3.047%
1.460	1.481	0.02072	1.399%
1.521	1.481	0.03956	-2.671%
1.516	1.481	0.03460	-2.336%
1.482	1.481	0.00109	-0.073%
1.503	1.481	0.02186	-1.476%
1.533	1.481	0.05216	-3.522%
1.567	1.481	0.08575	-5.790%
1.567	1.481	0.08555	-5.777%
1.594	1.481	0.11292	-7.625%
1.600	1.481	0.11946	-8.066%
1.590	1.481	0.10928	-7.379%
1.637	1.620	0.01662	-1.026%
1.637	1.620	0.01707	-1.054%
1.659	1.620	0.03929	-2.425%
1.645	1.620	0.02480	-1.531%
1.665	1.620	0.04489	-2.771%
1.693	1.620	0.07301	-4.507%
1.052	1.620	0.56815	35.071%
1.582	1.620	0.03805	2.348%
1.017	1.620	0.60350	37.253%
1.083	1.620	0.53747	33.177%
1.108	1.620	0.51233	31.625%
1.739	1.620	0.11863	-7.323%
1.110	1.620	0.50972	31.464%
1.020	1.620	0.60004	37.040%
1.116	1.620	0.50442	31.137%
1.112	1.620	0.50772	31.341%
1.105	1.620	0.51494	31.786%
1.122	1.620	0.49777	30.727%
1.117	1.620	0.50269	31.030%
1.115	1.620	0.50498	31.171%
1.097	1.678	0.58109	34.630%
1.136	1.678	0.54238	32.323%
1.127	1.678	0.55096	32.834%
1.095	1.678	0.58300	34.744%
1.119	1.678	0.55862	33.291%
1.119	1.678	0.55870	33.296%
1.115	1.678	0.56254	33.524%
1.112	1.678	0.56565	33.710%
1.097	1.678	0.58115	34.633%
1.101	1.678	0.57666	34.366%
1.103	1.678	0.57491	34.262%
1.103	1.678	0.57545	34.294%
1.116	1.678	0.56233	33.512%
1.121	1.678	0.55741	33.219%
1.123	1.678	0.55503	33.077%
1.112	1.678	0.56611	33.737%
1.110	1.678	0.56815	33.859%
1.116	1.678	0.56224	33.507%
1.762	1.678	0.08421	-5.018%
1.098	1.678	0.57994	34.561%
1.114	1.678	0.56416	33.621%
1.118	1.678	0.55958	33.348%
1.125	1.678	0.55256	32.930%
1.125	1.678	0.55347	32.984%
1.119	1.678	0.55925	33.329%
1.095	1.678	0.58296	34.741%
1.086	1.678	0.59189	35.273%
1.086	1.678	0.59174	35.265%
1.111	1.678	0.56650	33.760%
1.117	1.678	0.56122	33.446%
1.104	1.678	0.57377	34.194%
1.116	1.678	0.56220	33.504%
1.114	1.678	0.56369	33.593%
1.115	1.678	0.56281	33.541%
1.114	1.678	0.56407	33.616%
1.126	1.677	0.55061	32.833%
1.097	1.677	0.57954	34.558%
1.079	1.677	0.59838	35.682%
1.076	1.677	0.60117	35.848%
1.076	1.677	0.60079	35.825%
1.088	1.677	0.58871	35.105%
1.098	1.677	0.57932	34.545%
1.109	1.677	0.56767	33.850%
1.121	1.677	0.55645	33.181%
1.133	1.677	0.54403	32.441%
1.110	1.677	0.56654	33.783%
1.116	1.677	0.56108	33.457%
1.110	1.677	0.56709	33.815%
1.132	1.677	0.54462	32.476%
1.123	1.677	0.55390	33.029%
1.118	1.677	0.55861	33.310%
1.119	1.679	0.56044	33.379%
1.132	1.679	0.54661	32.556%
1.075	1.679	0.60428	35.991%
1.091	1.679	0.58789	35.014%
1.077	1.679	0.60208	35.860%
1.070	1.679	0.60905	36.274%
1.082	1.679	0.59675	35.542%
1.102	1.679	0.57703	34.368%
1.110	1.679	0.56913	33.897%
1.107	1.679	0.57194	34.064%
1.105	1.679	0.57437	34.209%
1.122	1.679	0.55712	33.181%
1.106	1.679	0.57252	34.099%
1.111	1.679	0.56774	33.814%
1.105	1.679	0.57390	34.181%
1.099	1.679	0.58030	34.562%
1.101	1.679	0.57783	34.415%
1.108	1.679	0.57099	34.008%
1.102	1.679	0.57660	34.342%
1.093	1.679	0.58645	34.929%
1.099	1.677	0.57832	34.485%
1.094	1.677	0.58318	34.775%
1.097	1.677	0.58030	34.603%
1.097	1.677	0.57951	34.556%
1.098	1.677	0.57937	34.548%
1.106	1.677	0.57111	34.056%
1.104	1.677	0.57265	34.147%
1.102	1.677	0.57505	34.290%
1.095	1.677	0.58192	34.700%
1.717	1.677	0.04040	-2.409%
1.727	1.677	0.04982	-2.971%
1.708	1.677	0.03123	-1.862%
1.710	1.677	0.03314	-1.976%
1.722	1.677	0.04509	-2.689%
1.726	1.677	0.04891	-2.917%
1.720	1.677	0.04279	-2.552%
1.605	1.677	0.07245	4.320%
1.617	1.677	0.05959	3.553%
1.734	1.677	0.05739	-3.422%
1.724	1.680	0.04438	-2.642%
1.710	1.680	0.03025	-1.800%
1.727	1.680	0.04734	-2.818%
1.732	1.680	0.05228	-3.112%
1.108	1.680	0.57195	34.045%
1.090	1.680	0.59028	35.136%
1.099	1.680	0.58079	34.571%
1.099	1.680	0.58053	34.556%
1.087	1.680	0.59254	35.270%
1.086	1.680	0.59418	35.368%
1.094	1.680	0.58606	34.885%
1.084	1.680	0.59574	35.461%
1.094	1.680	0.58577	34.868%
1.095	1.680	0.58492	34.817%
1.103	1.680	0.57680	34.334%
1.093	1.680	0.58713	34.948%
1.113	1.680	0.56680	33.738%
1.111	1.680	0.56900	33.869%
1.132	1.680	0.54760	32.596%
1.115	1.680	0.56453	33.603%
1.104	1.709	0.60482	35.390%
1.724	1.709	0.01465	-0.857%
1.078	1.709	0.63147	36.950%
1.084	1.709	0.62450	36.542%
1.101	1.709	0.60786	35.568%
1.106	1.709	0.60293	35.280%
1.110	1.709	0.59859	35.026%
1.100	1.709	0.60871	35.618%
1.086	1.709	0.62339	36.477%
1.091	1.709	0.61771	36.144%
1.092	1.709	0.61702	36.104%
1.074	1.709	0.63472	37.140%
1.074	1.709	0.63496	37.154%
1.106	1.709	0.60264	35.263%
1.099	1.709	0.61014	35.702%
1.118	1.729	0.61105	35.341%
1.113	1.729	0.61644	35.653%
1.115	1.729	0.61449	35.540%
1.115	1.729	0.61357	35.487%
1.106	1.729	0.62312	36.039%
1.117	1.729	0.61249	35.425%
1.125	1.664	0.53910	32.398%
1.129	1.664	0.53456	32.125%
1.127	1.664	0.53721	32.284%
1.120	1.664	0.54425	32.708%
1.089	1.664	0.57512	34.562%
1.142	1.664	0.52197	31.368%
1.097	1.682	0.58536	34.801%
1.132	1.682	0.55019	32.710%
1.139	1.682	0.54311	32.289%
1.111	1.682	0.57123	33.961%
1.085	1.682	0.59741	35.518%
1.099	1.682	0.58252	34.633%
1.093	1.682	0.58943	35.043%
1.108	1.682	0.57443	34.152%
1.110	1.682	0.57198	34.006%
1.113	1.682	0.56901	33.829%
1.107	1.682	0.57541	34.210%
1.111	1.682	0.57115	33.956%
1.119	1.682	0.56347	33.500%
1.117	1.682	0.56499	33.590%
1.127	1.682	0.55529	33.014%
1.137	1.682	0.54505	32.405%
1.139	1.682	0.54315	32.292%
1.152	1.682	0.52980	31.498%
1.137	1.658	0.52085	31.414%
1.645	1.658	0.01287	0.776%
1.100	1.658	0.55751	33.626%
1.095	1.658	0.56299	33.956%
1.111	1.658	0.54678	32.978%
1.100	1.658	0.55776	33.640%
1.121	1.658	0.53715	32.397%
1.122	1.658	0.53632	32.347%
1.133	1.658	0.52500	31.664%
1.138	1.658	0.52017	31.373%
1.138	1.658	0.51957	31.337%
1.128	1.658	0.52995	31.963%
1.120	1.658	0.53820	32.461%
1.104	1.658	0.55440	33.438%
1.100	1.658	0.55800	33.655%
1.096	1.658	0.56239	33.920%
1.091	1.658	0.56691	34.192%
1.101	1.658	0.55749	33.624%
1.119	1.658	0.53924	32.523%
1.100	1.658	0.55841	33.680%
1.101	1.658	0.55729	33.612%
1.108	1.658	0.54972	33.155%
1.109	1.658	0.54869	33.093%
1.119	1.658	0.53917	32.519%
1.116	1.658	0.54224	32.705%
1.109	1.658	0.54879	33.100%
1.738	1.658	0.07957	-4.799%
1.100	1.658	0.55768	33.636%
1.088	1.658	0.57047	34.407%
1.076	1.658	0.58231	35.121%
1.088	1.658	0.56991	34.373%
1.727	1.658	0.06910	-4.167%
1.092	1.658	0.56573	34.122%
1.095	1.658	0.56344	33.983%
1.703	1.662	0.04124	-2.481%
1.092	1.662	0.57047	34.324%
1.091	1.662	0.57112	34.363%
1.104	1.662	0.55808	33.579%
1.110	1.662	0.55192	33.208%
1.102	1.662	0.55998	33.693%
1.094	1.662	0.56765	34.154%
1.090	1.662	0.57158	34.391%
1.100	1.662	0.56230	33.833%
1.109	1.662	0.55303	33.275%
1.070	1.662	0.59156	35.594%
1.104	1.662	0.55842	33.599%
1.095	1.662	0.56675	34.100%
1.094	1.662	0.56809	34.181%
1.093	1.662	0.56937	34.258%
1.112	1.662	0.54970	33.074%
1.092	1.662	0.56966	34.276%
1.116	1.662	0.54606	32.856%
1.112	1.662	0.54987	33.085%
1.111	1.662	0.55106	33.157%
1.110	1.662	0.55169	33.194%
1.122	1.662	0.54032	32.510%
1.124	1.662	0.53818	32.381%
1.113	1.662	0.54886	33.024%
1.111	1.662	0.55112	33.160%
1.108	1.662	0.55444	33.360%
1.100	1.662	0.56179	33.802%
1.114	1.662	0.54831	32.991%
1.124	1.662	0.53796	32.368%
1.118	1.662	0.54374	32.716%
1.103	1.662	0.55887	33.626%
1.111	1.662	0.55064	33.131%
1.112	1.662	0.54976	33.078%
1.137	1.662	0.52501	31.589%
1.147	1.662	0.51488	30.980%
1.110	1.662	0.55221	33.226%
1.097	1.662	0.56523	34.009%
1.116	1.662	0.54607	32.856%
1.093	1.662	0.56932	34.255%
1.100	1.664	0.56356	33.868%
1.109	1.664	0.55452	33.324%
1.126	1.664	0.53752	32.303%
1.125	1.664	0.53937	32.414%
1.131	1.664	0.53262	32.009%
1.144	1.664	0.52042	31.275%
1.125	1.664	0.53918	32.403%
1.122	1.664	0.54211	32.579%
1.112	1.664	0.55217	33.183%
1.127	1.664	0.53732	32.291%
1.117	1.664	0.54745	32.899%
1.128	1.664	0.53641	32.236%
1.110	1.664	0.55368	33.274%
1.102	1.664	0.56214	33.782%
1.108	1.664	0.55632	33.433%
1.112	1.664	0.55172	33.156%
1.115	1.664	0.54939	33.016%
1.106	1.664	0.55787	33.526%
1.108	1.664	0.55576	33.399%
1.098	1.664	0.56563	33.992%
1.115	1.657	0.54225	32.725%
1.125	1.657	0.53185	32.097%
1.092	1.657	0.56480	34.086%
1.115	1.657	0.54163	32.687%
1.106	1.657	0.55121	33.266%
1.099	1.657	0.55832	33.695%
1.080	1.657	0.57740	34.846%
1.088	1.657	0.56941	34.364%
1.094	1.657	0.56257	33.951%
1.099	1.657	0.55766	33.655%
1.097	1.657	0.56013	33.804%
1.084	1.657	0.57303	34.582%
1.102	1.657	0.55471	33.477%
1.120	1.657	0.53727	32.425%
1.113	1.657	0.54432	32.850%
1.133	1.657	0.52367	31.604%
1.126	1.657	0.53147	32.074%
1.133	1.657	0.52362	31.601%
1.122	1.662	0.54021	32.504%
1.722	1.662	0.05959	-3.585%
1.731	1.662	0.06906	-4.155%
1.736	1.662	0.07421	-4.465%
1.752	1.662	0.09035	-5.436%
1.730	1.662	0.06818	-4.102%
1.717	1.662	0.05499	-3.309%
1.721	1.662	0.05882	-3.539%
1.732	1.662	0.06955	-4.185%
1.737	1.662	0.07486	-4.504%
1.720	1.662	0.05759	-3.465%
1.094	1.662	0.56813	34.184%
1.082	1.662	0.57956	34.871%
1.106	1.662	0.55586	33.446%
1.120	1.662	0.54194	32.608%
1.104	1.662	0.55787	33.566%
1.125	1.662	0.53666	32.290%
1.110	1.662	0.55154	33.185%
1.098	1.662	0.56421	33.947%
1.108	1.662	0.55414	33.342%
1.121	1.646	0.52455	31.868%
1.737	1.646	0.09138	-5.552%
1.734	1.646	0.08819	-5.358%
1.717	1.646	0.07138	-4.336%
1.725	1.646	0.07855	-4.772%
1.728	1.646	0.08188	-4.974%
1.716	1.646	0.07007	-4.257%
1.708	1.646	0.06226	-3.782%
1.711	1.646	0.06525	-3.964%
1.720	1.646	0.07411	-4.502%
1.697	1.646	0.05102	-3.100%
1.677	1.646	0.03113	-1.891%
1.685	1.646	0.03855	-2.342%
1.669	1.646	0.02317	-1.408%
1.707	1.646	0.06065	-3.685%
1.727	1.646	0.08072	-4.904%
1.672	1.646	0.02568	-1.560%
1.680	1.646	0.03372	-2.049%
1.696	1.646	0.04988	-3.030%
1.709	1.646	0.06255	-3.800%
1.697	1.607	0.09027	-5.617%
1.699	1.607	0.09200	-5.725%
1.696	1.607	0.08921	-5.551%
1.678	1.607	0.07080	-4.406%
1.645	1.607	0.03790	-2.359%
1.653	1.607	0.04644	-2.890%
1.631	1.607	0.02389	-1.486%
1.072	1.607	0.53549	33.322%
1.079	1.607	0.52760	32.832%
1.084	1.607	0.52310	32.552%
1.624	1.607	0.01749	-1.088%
1.650	1.607	0.04323	-2.690%
1.114	1.607	0.49274	30.662%
1.110	1.607	0.49701	30.928%
1.065	1.607	0.54237	33.750%
1.103	1.607	0.50426	31.379%
1.093	1.607	0.51424	32.000%
1.106	1.607	0.50148	31.206%
1.111	1.666	0.55548	33.342%
1.126	1.666	0.53988	32.406%
1.125	1.666	0.54133	32.493%
1.121	1.666	0.54491	32.708%
1.121	1.666	0.54495	32.710%
1.123	1.666	0.54345	32.620%
1.123	1.666	0.54340	32.617%
1.110	1.666	0.55590	33.367%
1.115	1.666	0.55139	33.096%
1.126	1.666	0.54049	32.442%
1.103	1.666	0.56317	33.804%
1.098	1.666	0.56817	34.104%
1.096	1.666	0.56977	34.200%
1.661	1.666	0.00482	0.289%
1.652	1.666	0.01435	0.861%
1.672	1.666	0.00603	-0.362%
1.639	1.666	0.02728	1.638%
1.599	1.666	0.06713	4.029%
1.605	1.666	0.06102	3.663%
1.581	1.626	0.04472	2.750%
1.638	1.626	0.01208	-0.743%
1.644	1.626	0.01787	-1.099%
1.659	1.626	0.03340	-2.054%
1.659	1.626	0.03320	-2.042%
1.690	1.626	0.06355	-3.909%
1.697	1.626	0.07086	-4.358%
1.701	1.626	0.07501	-4.613%
1.700	1.626	0.07436	-4.573%
1.718	1.626	0.09170	-5.640%
1.124	1.626	0.50186	30.864%
1.736	1.626	0.10954	-6.737%
1.702	1.626	0.07572	-4.657%
1.722	1.626	0.09612	-5.911%
1.713	1.626	0.08733	-5.371%
1.727	1.626	0.10143	-6.238%
1.110	1.626	0.51613	31.742%
1.089	1.626	0.53662	33.002%
1.097	1.626	0.52861	32.510%
1.618	1.626	0.00778	0.479%
1.617	1.633	0.01613	0.988%
1.634	1.633	0.00063	-0.039%
1.626	1.633	0.00663	0.406%
1.106	1.633	0.52736	32.294%
1.110	1.633	0.52286	32.018%
1.101	1.633	0.53155	32.551%
1.102	1.633	0.53140	32.541%
1.083	1.633	0.55041	33.705%
1.086	1.633	0.54652	33.467%
1.118	1.633	0.51525	31.552%
1.122	1.633	0.51094	31.289%
1.118	1.633	0.51524	31.552%
1.099	1.633	0.53387	32.693%
1.125	1.633	0.50787	31.101%
1.118	1.633	0.51510	31.543%
1.121	1.633	0.51238	31.377%
1.100	1.633	0.53259	32.614%
1.621	1.633	0.01168	0.715%
1.613	1.633	0.01968	1.205%
1.709	1.633	0.07629	-4.672%
1.688	1.584	0.10439	-6.590%
1.708	1.584	0.12422	-7.842%
1.675	1.584	0.09052	-5.715%
1.648	1.584	0.06400	-4.040%
1.661	1.584	0.07693	-4.857%
1.589	1.584	0.00490	-0.309%
1.575	1.584	0.00946	0.597%
1.601	1.584	0.01702	-1.074%
1.595	1.584	0.01104	-0.697%
1.602	1.584	0.01823	-1.151%
1.600	1.584	0.01630	-1.029%
1.620	1.584	0.03619	-2.285%
1.631	1.584	0.04668	-2.947%
1.664	1.584	0.08000	-5.050%
1.662	1.584	0.07806	-4.928%
1.654	1.584	0.07032	-4.439%
1.662	1.584	0.07814	-4.933%
1.644	1.584	0.06002	-3.789%
1.637	1.584	0.05309	-3.352%
1.672	1.584	0.08765	-5.534%
1.660	1.496	0.16395	-10.959%
1.670	1.496	0.17374	-11.614%
1.638	1.496	0.14152	-9.460%
1.559	1.496	0.06274	-4.194%
1.539	1.496	0.04333	-2.897%
1.561	1.496	0.06548	-4.377%
1.578	1.496	0.08248	-5.514%
1.591	1.496	0.09499	-6.350%
1.615	1.496	0.11905	-7.958%
1.625	1.496	0.12872	-8.605%
1.640	1.496	0.14421	-9.640%
1.638	1.496	0.14164	-9.468%
1.655	1.496	0.15893	-10.624%
1.637	1.496	0.14130	-9.445%
1.641	1.496	0.14451	-9.660%
1.677	1.496	0.18105	-12.102%
1.697	1.496	0.20095	-13.433%
1.692	1.496	0.19592	-13.097%
1.688	1.496	0.19163	-12.810%
1.697	1.496	0.20121	-13.450%
1.687	1.525	0.16236	-10.647%
1.707	1.525	0.18161	-11.909%
1.712	1.525	0.18692	-12.257%
1.666	1.525	0.14125	-9.263%
1.044	1.525	0.48133	31.563%
1.601	1.525	0.07595	-4.980%
1.050	1.525	0.47539	31.173%
1.652	1.525	0.12708	-8.333%
1.652	1.525	0.12728	-8.346%
1.647	1.525	0.12199	-7.999%
1.701	1.525	0.17558	-11.513%
1.135	1.525	0.39029	25.593%
1.116	1.525	0.40872	26.801%
1.134	1.525	0.39087	25.631%
1.093	1.525	0.43169	28.307%
1.113	1.525	0.41230	27.036%
1.144	1.525	0.38105	24.987%
1.824	1.525	0.29930	-19.626%
1.103	1.525	0.42196	27.669%
1.115	1.525	0.41007	26.890%
1.707	1.523	0.18444	-12.110%
1.105	1.523	0.41831	27.466%
1.749	1.523	0.22578	-14.825%
1.682	1.523	0.15889	-10.433%
1.668	1.523	0.14524	-9.536%
1.774	1.523	0.25080	-16.468%
1.090	1.523	0.43263	28.406%
1.102	1.523	0.42078	27.628%
1.107	1.523	0.41573	27.296%
1.766	1.523	0.24258	-15.927%
1.785	1.523	0.26231	-17.223%
1.752	1.523	0.22928	-15.054%
1.794	1.523	0.27063	-17.770%
1.788	1.523	0.26473	-17.382%
1.109	1.523	0.41419	27.196%
1.125	1.523	0.39763	26.109%
1.124	1.523	0.39888	26.190%
1.073	1.523	0.45004	29.549%
1.061	1.523	0.46162	30.310%
1.063	1.523	0.46015	30.214%
1.069	1.527	0.45809	29.999%
1.066	1.527	0.46094	30.186%
1.099	1.527	0.42835	28.052%
1.714	1.527	0.18691	-12.240%
1.742	1.527	0.21482	-14.068%
1.110	1.527	0.41676	27.293%
1.111	1.527	0.41553	27.212%
1.050	1.527	0.47721	31.252%
1.046	1.527	0.48079	31.486%
2.127	1.527	0.60027	-39.311%
1.696	1.527	0.16906	-11.071%
1.701	1.527	0.17422	-11.409%
1.067	1.527	0.46016	30.135%
1.084	1.527	0.44267	28.990%
1.084	1.527	0.44347	29.042%
1.082	1.527	0.44547	29.173%
1.075	1.527	0.45172	29.582%
1.078	1.527	0.44917	29.415%
1.076	1.527	0.45092	29.530%
1.078	1.527	0.44915	29.414%
1.073	1.496	0.42270	28.255%
1.071	1.496	0.42547	28.441%
1.107	1.496	0.38851	25.970%
1.109	1.496	0.38656	25.840%
1.788	1.496	0.29212	-19.527%
1.713	1.496	0.21736	-14.530%
1.724	1.496	0.22780	-15.227%
1.695	1.496	0.19937	-13.327%
1.698	1.496	0.20223	-13.518%
1.708	1.496	0.21155	-14.141%
1.700	1.496	0.20409	-13.642%
1.622	1.496	0.12574	-8.405%
1.614	1.496	0.11783	-7.876%
1.656	1.496	0.16021	-10.709%
1.636	1.496	0.13973	-9.340%
1.627	1.496	0.13099	-8.756%
1.607	1.496	0.11052	-7.388%
1.609	1.496	0.11334	-7.576%
1.604	1.496	0.10834	-7.242%
1.608	1.496	0.11152	-7.454%
1.605	1.353	0.25169	-18.602%
